Datetime,close,high,low,open,volume
2025-11-25 00:00:00+00:00,746.0,749.0,737.0,740.0,0
2025-11-25 00:05:00+00:00,754.0,755.0,744.0,746.0,39304316
2025-11-25 00:10:00+00:00,757.0,757.0,748.0,755.0,41357756
2025-11-25 00:15:00+00:00,757.0,759.0,754.0,756.0,23840051
2025-11-25 00:20:00+00:00,756.0,760.0,754.0,757.0,21409748
2025-11-25 00:25:00+00:00,763.0,763.0,756.0,757.0,26674321
2025-11-25 00:30:00+00:00,757.0,763.0,756.0,763.0,20036201
2025-11-25 00:35:00+00:00,760.0,761.0,754.0,757.0,20378285
2025-11-25 00:40:00+00:00,758.0,762.0,755.0,761.0,12760654
2025-11-25 00:45:00+00:00,757.0,758.0,754.0,758.0,13352750
2025-11-25 00:50:00+00:00,756.0,759.0,754.0,757.0,14248745
2025-11-25 00:55:00+00:00,752.0,756.0,751.0,756.0,12162185
2025-11-25 01:00:00+00:00,760.0,760.0,751.0,752.0,22688425
2025-11-25 01:05:00+00:00,762.0,763.0,758.0,760.0,11233194
2025-11-25 01:10:00+00:00,763.0,764.0,760.0,762.0,9401407
2025-11-25 01:15:00+00:00,763.0,766.0,760.0,763.0,22072467
2025-11-25 01:20:00+00:00,762.0,763.0,759.0,763.0,13907682
2025-11-25 01:25:00+00:00,763.0,764.0,760.0,762.0,5191242
2025-11-25 01:30:00+00:00,762.0,764.0,760.0,763.0,5197662
2025-11-25 01:35:00+00:00,764.0,764.0,760.0,762.0,6417486
2025-11-25 01:40:00+00:00,765.0,766.0,762.0,763.0,10844855
2025-11-25 01:45:00+00:00,768.0,768.0,765.0,765.0,10429368
2025-11-25 01:50:00+00:00,767.0,769.0,765.0,768.0,9702937
2025-11-25 01:55:00+00:00,767.0,768.0,764.0,767.0,6751421
2025-11-25 02:00:00+00:00,766.0,769.0,765.0,767.0,6006830
2025-11-25 02:05:00+00:00,768.0,770.0,766.0,766.0,7775984
2025-11-25 02:10:00+00:00,767.0,768.0,765.0,768.0,6696255
2025-11-25 02:15:00+00:00,765.0,767.0,762.0,767.0,10102340
2025-11-25 02:20:00+00:00,769.0,769.0,764.0,766.0,8725639
2025-11-25 02:25:00+00:00,771.0,771.0,768.0,768.0,8888221
2025-11-25 02:30:00+00:00,767.0,771.0,767.0,770.0,9291350
2025-11-25 02:35:00+00:00,767.0,768.0,765.0,767.0,2644012
2025-11-25 02:40:00+00:00,763.0,767.0,760.0,766.0,15483543
2025-11-25 02:45:00+00:00,765.0,766.0,762.0,763.0,5917679
2025-11-25 02:50:00+00:00,763.0,766.0,763.0,765.0,6019054
2025-11-25 02:55:00+00:00,763.0,764.0,762.0,763.0,6073616
2025-11-25 03:00:00+00:00,760.0,763.0,760.0,763.0,7052598
2025-11-25 03:05:00+00:00,761.0,762.0,760.0,761.0,5429566
2025-11-25 03:10:00+00:00,762.0,763.0,758.0,760.0,10534212
2025-11-25 03:15:00+00:00,763.0,763.0,761.0,762.0,2264106
2025-11-25 03:20:00+00:00,766.0,766.0,762.0,762.0,13120348
2025-11-25 03:25:00+00:00,768.0,768.0,765.0,766.0,6839370
2025-11-25 03:30:00+00:00,773.0,773.0,767.0,768.0,19074242
2025-11-25 03:35:00+00:00,775.0,775.0,772.0,772.0,14755512
2025-11-25 03:40:00+00:00,775.0,777.0,774.0,775.0,9880303
2025-11-25 03:45:00+00:00,779.0,779.0,774.0,775.0,11146912
2025-11-25 03:50:00+00:00,780.0,783.0,778.0,778.0,16182115
2025-11-25 03:55:00+00:00,786.0,787.0,780.0,780.0,18672664
2025-11-25 04:00:00+00:00,785.0,787.0,783.0,786.0,27433933
2025-11-25 04:05:00+00:00,785.0,786.0,781.0,785.0,13353057
2025-11-25 04:10:00+00:00,783.0,785.0,782.0,784.0,6682058
2025-11-25 04:15:00+00:00,782.0,783.0,778.0,783.0,20296064
2025-11-25 04:20:00+00:00,781.0,785.0,781.0,782.0,15500527
2025-11-25 04:25:00+00:00,782.0,783.0,779.0,782.0,12277101
2025-11-25 04:30:00+00:00,780.0,783.0,779.0,782.0,5318107
2025-11-25 04:35:00+00:00,778.0,780.0,777.0,780.0,8833911
2025-11-25 04:40:00+00:00,779.0,780.0,777.0,778.0,6216607
2025-11-25 04:45:00+00:00,778.0,780.0,777.0,779.0,8021671
2025-11-25 04:50:00+00:00,776.0,779.0,775.0,779.0,12434416
2025-11-25 04:55:00+00:00,778.0,780.0,776.0,776.0,10352877
2025-11-25 05:00:00+00:00,777.0,779.0,776.0,778.0,8954007
2025-11-25 05:05:00+00:00,778.0,780.0,776.0,777.0,8312586
